timestep,state
234.00,-0.5
235.00,-0.5
236.00,-0.5
237.00,-0.5
238.00,1
239.00,1
240.00,1
241.00,1
242.00,1
243.00,1
244.00,1
245.00,1
246.00,1
247.00,1
248.00,1
249.00,1
250.00,1
251.00,1
252.00,1
253.00,1
254.00,1
255.00,1
256.00,1
257.00,1
258.00,1
259.00,1
260.00,1
261.00,1
262.00,1
263.00,1
264.00,1
265.00,1
266.00,1
267.00,1
268.00,0.5
269.00,0.5
270.00,0.5
271.00,0.5
272.00,-1
273.00,-1
274.00,-1
275.00,-1
276.00,-1
277.00,-1
278.00,-1
279.00,-1
280.00,-1
281.00,-1
282.00,-1
283.00,-1
284.00,-1
285.00,-1
286.00,-1
287.00,-1
288.00,-1
289.00,-1
290.00,-1
291.00,-1
292.00,-1
293.00,-1
294.00,-1
295.00,-1
296.00,-1
297.00,-1
298.00,-1
299.00,-1
300.00,-1
301.00,-1
302.00,-0.5
303.00,-0.5
304.00,-0.5
305.00,-0.5
306.00,1
307.00,1
308.00,1
309.00,1
310.00,1
311.00,1
312.00,1
313.00,1
314.00,1
315.00,1
316.00,1
317.00,1
318.00,1
319.00,1
320.00,1
321.00,1
322.00,1
323.00,1
324.00,1
325.00,1
326.00,1
327.00,1
328.00,1
329.00,1
330.00,1
331.00,1
332.00,1
333.00,1
334.00,1
335.00,1
336.00,0.5
337.00,0.5
338.00,0.5
339.00,0.5
340.00,-1
341.00,-1
342.00,-1
343.00,-1
344.00,-1
345.00,-1
346.00,-1
347.00,-1
348.00,-1
349.00,-1
350.00,-1
351.00,-1
352.00,-1
353.00,-1
354.00,-1
355.00,-1
356.00,-1
357.00,-1
358.00,-1
359.00,-1
360.00,-1
361.00,-1
362.00,-1
363.00,-1
364.00,-1
365.00,-1
366.00,-1
367.00,-1
368.00,-1
369.00,-1
370.00,-0.5
371.00,-0.5
372.00,-0.5
373.00,-0.5
374.00,1
375.00,1
376.00,1
377.00,1
378.00,1
379.00,1
380.00,1
381.00,1
382.00,1
383.00,1
384.00,1
385.00,1
386.00,1
387.00,1
388.00,1
389.00,1
390.00,1
391.00,1
392.00,1
393.00,1
394.00,1
395.00,1
396.00,1
397.00,1
398.00,1
399.00,1
400.00,1
401.00,1
402.00,1
403.00,1
404.00,0.5
405.00,0.5
406.00,0.5
407.00,0.5
408.00,-1
409.00,-1
410.00,-1
411.00,-1
412.00,-1
413.00,-1
414.00,-1
415.00,-1
416.00,-1
417.00,-1
418.00,-1
419.00,-1
420.00,-1
421.00,-1
422.00,-1
423.00,-1
424.00,-1
425.00,-1
426.00,-1
427.00,-1
428.00,-1
429.00,-1
430.00,-1
431.00,-1
432.00,-1
433.00,-1
434.00,-1
435.00,-1
436.00,-1
437.00,-1
438.00,-0.5
439.00,-0.5
440.00,-0.5
441.00,-0.5
442.00,1
443.00,1
444.00,1
445.00,1
446.00,1
447.00,1
448.00,1
449.00,1
450.00,1
451.00,1
452.00,1
453.00,1
454.00,1
455.00,1
456.00,1
457.00,1
458.00,1
459.00,1
460.00,1
461.00,1
462.00,1
463.00,1
464.00,1
465.00,1
466.00,1
467.00,1
468.00,1
469.00,1
470.00,1
471.00,1
472.00,1
473.00,1
474.00,1
475.00,1
476.00,0.5
477.00,0.5
478.00,0.5
479.00,0.5
480.00,-1
481.00,-1
482.00,-1
483.00,-1
484.00,-1
485.00,-1
486.00,-1
487.00,-1
488.00,-1
489.00,-1
490.00,-1
491.00,-1
492.00,-1
493.00,-1
494.00,-1
495.00,-1
496.00,-1
497.00,-1
498.00,-1
499.00,-1
500.00,-1
501.00,-1
502.00,-1
503.00,-1
504.00,-1
505.00,-1
506.00,-1
507.00,-1
508.00,-1
509.00,-1
510.00,-0.5
511.00,-0.5
512.00,-0.5
513.00,-0.5
514.00,1
515.00,1
516.00,1
517.00,1
518.00,1
519.00,1
520.00,1
521.00,1
522.00,1
523.00,1
524.00,1
525.00,1
526.00,1
527.00,1
528.00,1
529.00,1
530.00,1
531.00,1
532.00,1
533.00,1
534.00,1
535.00,1
536.00,1
537.00,1
538.00,1
539.00,1
540.00,1
541.00,1
542.00,1
543.00,1
544.00,1
545.00,0.5
546.00,0.5
547.00,0.5
548.00,0.5
549.00,-1
550.00,-1
551.00,-1
552.00,-1
553.00,-1
554.00,-1
555.00,-1
556.00,-1
557.00,-1
558.00,-1
559.00,-1
560.00,-1
561.00,-1
562.00,-1
563.00,-1
564.00,-1
565.00,-1
566.00,-1
567.00,-1
568.00,-1
569.00,-1
570.00,-1
571.00,-1
572.00,-1
573.00,-1
574.00,-1
575.00,-1
576.00,-1
577.00,-1
578.00,-1
579.00,-0.5
580.00,-0.5
581.00,-0.5
582.00,-0.5
583.00,1
584.00,1
585.00,1
586.00,1
587.00,1
588.00,1
589.00,1
590.00,1
591.00,1
592.00,1
593.00,1
594.00,1
595.00,1
596.00,1
597.00,1
598.00,1
599.00,1
600.00,1
601.00,1
602.00,1
603.00,1
604.00,1
605.00,1
606.00,1
607.00,1
608.00,1
609.00,1
610.00,1
611.00,1
612.00,1
613.00,0.5
614.00,0.5
615.00,0.5
616.00,0.5
617.00,-1
618.00,-1
619.00,-1
620.00,-1
621.00,-1
622.00,-1
623.00,-1
624.00,-1
625.00,-1
626.00,-1
627.00,-1
628.00,-1
629.00,-1
630.00,-1
631.00,-1
632.00,-1
633.00,-1
634.00,-1
635.00,-1
636.00,-1
637.00,-1
638.00,-1
639.00,-1
640.00,-1
641.00,-1
642.00,-1
643.00,-1
644.00,-1
645.00,-1
646.00,-1
647.00,-0.5
648.00,-0.5
649.00,-0.5
650.00,-0.5
651.00,1
652.00,1
653.00,1
654.00,1
655.00,1
656.00,1
657.00,1
658.00,1
659.00,1
660.00,1
661.00,1
662.00,1
663.00,1
664.00,1
665.00,1
666.00,1
667.00,1
668.00,1
669.00,1
670.00,1
671.00,1
672.00,1
673.00,1
674.00,1
675.00,1
676.00,1
677.00,1
678.00,1
679.00,1
680.00,1
681.00,1
682.00,1
683.00,1
684.00,0.5
685.00,0.5
686.00,0.5
687.00,0.5
688.00,-1
689.00,-1
690.00,-1
691.00,-1
692.00,-1
693.00,-1
694.00,-1
695.00,-1
696.00,-1
697.00,-1
698.00,-1
699.00,-1
700.00,-1
701.00,-1
702.00,-1
703.00,-1
704.00,-1
705.00,-1
706.00,-1
707.00,-1
708.00,-1
709.00,-1
710.00,-1
711.00,-1
712.00,-1
713.00,-1
714.00,-1
715.00,-1
716.00,-1
717.00,-1
718.00,-0.5
719.00,-0.5
720.00,-0.5
721.00,-0.5
722.00,1
723.00,1
724.00,1
725.00,1
726.00,1
727.00,1
728.00,1
729.00,1
730.00,1
731.00,1
732.00,1
733.00,1
734.00,1
735.00,1
736.00,1
737.00,1
738.00,1
739.00,1
740.00,1
741.00,1
742.00,1
743.00,1
744.00,1
745.00,1
746.00,1
747.00,1
748.00,1
749.00,1
750.00,1
751.00,1
752.00,1
753.00,1
754.00,1
755.00,1
756.00,1
757.00,1
758.00,1
759.00,0.5
760.00,0.5
761.00,0.5
762.00,0.5
763.00,-1
764.00,-1
765.00,-1
766.00,-1
767.00,-1
768.00,-1
769.00,-1
770.00,-1
771.00,-1
772.00,-1
773.00,-1
774.00,-1
775.00,-1
776.00,-1
777.00,-1
778.00,-1
779.00,-1
780.00,-1
781.00,-1
782.00,-1
783.00,-1
784.00,-1
785.00,-1
786.00,-1
787.00,-1
788.00,-1
789.00,-1
790.00,-1
791.00,-1
792.00,-1
793.00,-0.5
794.00,-0.5
795.00,-0.5
796.00,-0.5
797.00,1
798.00,1
799.00,1
800.00,1
801.00,1
802.00,1
803.00,1
804.00,1
805.00,1
806.00,1
807.00,1
808.00,1
809.00,1
810.00,1
811.00,1
812.00,1
813.00,1
814.00,1
815.00,1
816.00,1
817.00,1
818.00,1
819.00,1
820.00,1
821.00,1
822.00,1
823.00,1
824.00,1
825.00,1
826.00,1
827.00,1
828.00,0.5
829.00,0.5
830.00,0.5
831.00,0.5
832.00,-1
833.00,-1
834.00,-1
835.00,-1
836.00,-1
837.00,-1
838.00,-1
839.00,-1
840.00,-1
841.00,-1
842.00,-1
843.00,-1
844.00,-1
845.00,-1
846.00,-1
847.00,-1
848.00,-1
849.00,-1
850.00,-1
851.00,-1
852.00,-1
853.00,-1
854.00,-1
855.00,-1
856.00,-1
857.00,-1
858.00,-1
859.00,-1
860.00,-1
861.00,-1
862.00,-0.5
863.00,-0.5
864.00,-0.5
865.00,-0.5
866.00,1
867.00,1
868.00,1
869.00,1
870.00,1
871.00,1
872.00,1
873.00,1
874.00,1
875.00,1
876.00,1
877.00,1
878.00,1
879.00,1
880.00,1
881.00,1
882.00,1
883.00,1
884.00,1
885.00,1
886.00,1
887.00,1
888.00,1
889.00,1
890.00,1
891.00,1
892.00,1
893.00,1
894.00,1
895.00,1
896.00,1
897.00,1
898.00,1
899.00,1
900.00,1
901.00,1
902.00,0.5
903.00,0.5
904.00,0.5
905.00,0.5
906.00,-1
907.00,-1
908.00,-1
909.00,-1
910.00,-1
911.00,-1
912.00,-1
913.00,-1
914.00,-1
915.00,-1
916.00,-1
917.00,-1
918.00,-1
919.00,-1
920.00,-1
921.00,-1
922.00,-1
923.00,-1
924.00,-1
925.00,-1
926.00,-1
927.00,-1
928.00,-1
929.00,-1
930.00,-1
931.00,-1
932.00,-1
933.00,-1
934.00,-1
935.00,-1
936.00,-0.5
937.00,-0.5
938.00,-0.5
939.00,-0.5
940.00,1
941.00,1
942.00,1
943.00,1
944.00,1
945.00,1
946.00,1
947.00,1
948.00,1
949.00,1
950.00,1
951.00,1
952.00,1
953.00,1
954.00,1
955.00,1
956.00,1
957.00,1
958.00,1
959.00,1
960.00,1
961.00,1
962.00,1
963.00,1
964.00,1
965.00,1
966.00,1
967.00,1
968.00,1
969.00,1
970.00,1
971.00,1
972.00,1
973.00,1
974.00,0.5
975.00,0.5
976.00,0.5
977.00,0.5
978.00,-1
979.00,-1
980.00,-1
981.00,-1
982.00,-1
983.00,-1
984.00,-1
985.00,-1
986.00,-1
987.00,-1
988.00,-1
989.00,-1
990.00,-1
991.00,-1
992.00,-1
993.00,-1
994.00,-1
995.00,-1
996.00,-1
997.00,-1
998.00,-1
999.00,-1
1000.00,-1
1001.00,-1
1002.00,-1
1003.00,-1
1004.00,-1
1005.00,-1
1006.00,-1
1007.00,-1
1008.00,-0.5
1009.00,-0.5
1010.00,-0.5
1011.00,-0.5
1012.00,1
1013.00,1
1014.00,1
1015.00,1
1016.00,1
1017.00,1
1018.00,1
1019.00,1
1020.00,1
1021.00,1
1022.00,1
1023.00,1
1024.00,1
1025.00,1
1026.00,1
1027.00,1
1028.00,1
1029.00,1
1030.00,1
1031.00,1
1032.00,1
1033.00,1
1034.00,1
1035.00,1
1036.00,1
1037.00,1
1038.00,1
1039.00,1
1040.00,1
1041.00,1
1042.00,1
1043.00,1
1044.00,1
1045.00,1
1046.00,1
1047.00,1
1048.00,1
1049.00,0.5
1050.00,0.5
1051.00,0.5
1052.00,0.5
1053.00,-1
1054.00,-1
1055.00,-1
1056.00,-1
1057.00,-1
1058.00,-1
1059.00,-1
1060.00,-1
1061.00,-1
1062.00,-1
1063.00,-1
1064.00,-1
1065.00,-1
1066.00,-1
1067.00,-1
1068.00,-1
1069.00,-1
1070.00,-1
1071.00,-1
1072.00,-1
1073.00,-1
1074.00,-1
1075.00,-1
1076.00,-1
1077.00,-1
1078.00,-1
1079.00,-1
1080.00,-1
1081.00,-1
1082.00,-1
1083.00,-0.5
1084.00,-0.5
1085.00,-0.5
1086.00,-0.5
1087.00,1
1088.00,1
1089.00,1
1090.00,1
1091.00,1
1092.00,1
1093.00,1
1094.00,1
1095.00,1
1096.00,1
1097.00,1
1098.00,1
1099.00,1
1100.00,1
1101.00,1
1102.00,1
1103.00,1
1104.00,1
1105.00,1
1106.00,1
1107.00,1
1108.00,1
1109.00,1
1110.00,1
1111.00,1
1112.00,1
1113.00,1
1114.00,1
1115.00,1
1116.00,1
1117.00,1
1118.00,1
1119.00,1
1120.00,0.5
1121.00,0.5
1122.00,0.5
1123.00,0.5
1124.00,-1
1125.00,-1
1126.00,-1
1127.00,-1
1128.00,-1
1129.00,-1
1130.00,-1
1131.00,-1
1132.00,-1
1133.00,-1
1134.00,-1
1135.00,-1
1136.00,-1
1137.00,-1
1138.00,-1
1139.00,-1
1140.00,-1
1141.00,-1
1142.00,-1
1143.00,-1
1144.00,-1
1145.00,-1
1146.00,-1
1147.00,-1
1148.00,-1
1149.00,-1
1150.00,-1
1151.00,-1
1152.00,-1
1153.00,-1
1154.00,-0.5
1155.00,-0.5
1156.00,-0.5
1157.00,-0.5
1158.00,1
1159.00,1
1160.00,1
1161.00,1
1162.00,1
1163.00,1
1164.00,1
1165.00,1
1166.00,1
1167.00,1
1168.00,1
1169.00,1
1170.00,1
1171.00,1
1172.00,1
1173.00,1
1174.00,1
1175.00,1
1176.00,1
1177.00,1
1178.00,1
1179.00,1
1180.00,1
1181.00,1
1182.00,1
1183.00,1
1184.00,1
1185.00,1
1186.00,1
1187.00,1
1188.00,1
1189.00,1
1190.00,1
1191.00,0.5
1192.00,0.5
1193.00,0.5
1194.00,0.5
1195.00,-1
1196.00,-1
1197.00,-1
1198.00,-1
1199.00,-1
1200.00,-1
1201.00,-1
1202.00,-1
1203.00,-1
1204.00,-1
1205.00,-1
1206.00,-1
1207.00,-1
1208.00,-1
1209.00,-1
1210.00,-1
1211.00,-1
1212.00,-1
1213.00,-1
1214.00,-1
1215.00,-1
1216.00,-1
1217.00,-1
1218.00,-1
1219.00,-1
1220.00,-1
1221.00,-1
1222.00,-1
1223.00,-1
1224.00,-1
1225.00,-0.5
1226.00,-0.5
1227.00,-0.5
1228.00,-0.5
1229.00,1
1230.00,1
1231.00,1
1232.00,1
1233.00,1
1234.00,1
1235.00,1
1236.00,1
1237.00,1
1238.00,1
1239.00,1
1240.00,1
1241.00,1
1242.00,1
1243.00,1
1244.00,1
1245.00,1
1246.00,1
1247.00,1
1248.00,1
1249.00,1
1250.00,1
1251.00,1
1252.00,1
1253.00,1
1254.00,1
1255.00,1
1256.00,1
1257.00,1
1258.00,1
1259.00,1
1260.00,1
1261.00,1
1262.00,1
1263.00,1
1264.00,0.5
1265.00,0.5
1266.00,0.5
1267.00,0.5
1268.00,-1
1269.00,-1
1270.00,-1
1271.00,-1
1272.00,-1
1273.00,-1
1274.00,-1
1275.00,-1
1276.00,-1
1277.00,-1
1278.00,-1
1279.00,-1
1280.00,-1
1281.00,-1
1282.00,-1
1283.00,-1
1284.00,-1
1285.00,-1
1286.00,-1
1287.00,-1
1288.00,-1
1289.00,-1
1290.00,-1
1291.00,-1
1292.00,-1
1293.00,-1
1294.00,-1
1295.00,-1
1296.00,-1
1297.00,-1
1298.00,-0.5
1299.00,-0.5
1300.00,-0.5
1301.00,-0.5
1302.00,1
1303.00,1
1304.00,1
1305.00,1
1306.00,1
1307.00,1
1308.00,1
1309.00,1
1310.00,1
1311.00,1
1312.00,1
1313.00,1
1314.00,1
1315.00,1
1316.00,1
1317.00,1
1318.00,1
1319.00,1
1320.00,1
1321.00,1
1322.00,1
1323.00,1
1324.00,1
1325.00,1
1326.00,1
1327.00,1
1328.00,1
1329.00,1
1330.00,1
1331.00,1
1332.00,0.5
1333.00,0.5
1334.00,0.5
1335.00,0.5
1336.00,-1
1337.00,-1
1338.00,-1
1339.00,-1
1340.00,-1
1341.00,-1
1342.00,-1
1343.00,-1
1344.00,-1
1345.00,-1
1346.00,-1
1347.00,-1
1348.00,-1
1349.00,-1
1350.00,-1
1351.00,-1
1352.00,-1
1353.00,-1
1354.00,-1
1355.00,-1
1356.00,-1
1357.00,-1
1358.00,-1
1359.00,-1
1360.00,-1
1361.00,-1
1362.00,-1
1363.00,-1
1364.00,-1
1365.00,-1
1366.00,-0.5
1367.00,-0.5
1368.00,-0.5
1369.00,-0.5
1370.00,1
1371.00,1
1372.00,1
1373.00,1
1374.00,1
1375.00,1
1376.00,1
1377.00,1
1378.00,1
1379.00,1
1380.00,1
1381.00,1
1382.00,1
1383.00,1
1384.00,1
1385.00,1
1386.00,1
1387.00,1
1388.00,1
1389.00,1
1390.00,1
1391.00,1
1392.00,1
1393.00,1
1394.00,1
1395.00,1
1396.00,1
1397.00,1
1398.00,1
1399.00,1
1400.00,1
1401.00,1
1402.00,0.5
1403.00,0.5
1404.00,0.5
1405.00,0.5
1406.00,-1
1407.00,-1
1408.00,-1
1409.00,-1
1410.00,-1
1411.00,-1
1412.00,-1
1413.00,-1
1414.00,-1
1415.00,-1
1416.00,-1
1417.00,-1
1418.00,-1
1419.00,-1
1420.00,-1
1421.00,-1
1422.00,-1
1423.00,-1
1424.00,-1
1425.00,-1
1426.00,-1
1427.00,-1
1428.00,-1
1429.00,-1
1430.00,-1
1431.00,-1
1432.00,-1
1433.00,-1
1434.00,-1
1435.00,-1
1436.00,-0.5
1437.00,-0.5
1438.00,-0.5
1439.00,-0.5
1440.00,1
1441.00,1
1442.00,1
1443.00,1
1444.00,1
1445.00,1
1446.00,1
1447.00,1
1448.00,1
1449.00,1
1450.00,1
1451.00,1
1452.00,1
1453.00,1
1454.00,1
1455.00,1
1456.00,1
1457.00,1
1458.00,1
1459.00,1
1460.00,1
1461.00,1
1462.00,1
1463.00,1
1464.00,1
1465.00,1
1466.00,1
1467.00,1
1468.00,1
1469.00,1
1470.00,1
1471.00,1
1472.00,1
1473.00,1
1474.00,1
1475.00,1
1476.00,0.5
1477.00,0.5
1478.00,0.5
1479.00,0.5
1480.00,-1
1481.00,-1
1482.00,-1
1483.00,-1
1484.00,-1
1485.00,-1
1486.00,-1
1487.00,-1
1488.00,-1
1489.00,-1
1490.00,-1
1491.00,-1
1492.00,-1
1493.00,-1
1494.00,-1
1495.00,-1
1496.00,-1
1497.00,-1
1498.00,-1
1499.00,-1
1500.00,-1
1501.00,-1
1502.00,-1
1503.00,-1
1504.00,-1
1505.00,-1
1506.00,-1
1507.00,-1
1508.00,-1
1509.00,-1
1510.00,-0.5
1511.00,-0.5
1512.00,-0.5
1513.00,-0.5
1514.00,1
1515.00,1
1516.00,1
1517.00,1
1518.00,1
1519.00,1
1520.00,1
1521.00,1
1522.00,1
1523.00,1
1524.00,1
1525.00,1
1526.00,1
1527.00,1
1528.00,1
1529.00,1
1530.00,1
1531.00,1
1532.00,1
1533.00,1
1534.00,1
1535.00,1
1536.00,1
1537.00,1
1538.00,1
1539.00,1
1540.00,1
1541.00,1
1542.00,1
1543.00,1
1544.00,1
1545.00,1
1546.00,0.5
1547.00,0.5
1548.00,0.5
1549.00,0.5
1550.00,-1
1551.00,-1
1552.00,-1
1553.00,-1
1554.00,-1
1555.00,-1
1556.00,-1
1557.00,-1
1558.00,-1
1559.00,-1
1560.00,-1
1561.00,-1
1562.00,-1
1563.00,-1
1564.00,-1
1565.00,-1
1566.00,-1
1567.00,-1
1568.00,-1
1569.00,-1
1570.00,-1
1571.00,-1
1572.00,-1
1573.00,-1
1574.00,-1
1575.00,-1
1576.00,-1
1577.00,-1
1578.00,-1
1579.00,-1
1580.00,-0.5
1581.00,-0.5
1582.00,-0.5
1583.00,-0.5
1584.00,1
1585.00,1
1586.00,1
1587.00,1
1588.00,1
1589.00,1
1590.00,1
1591.00,1
1592.00,1
1593.00,1
1594.00,1
1595.00,1
1596.00,1
1597.00,1
1598.00,1
1599.00,1
1600.00,1
1601.00,1
1602.00,1
1603.00,1
1604.00,1
1605.00,1
1606.00,1
1607.00,1
1608.00,1
1609.00,1
1610.00,1
1611.00,1
1612.00,1
1613.00,1
1614.00,1
1615.00,1
1616.00,0.5
1617.00,0.5
1618.00,0.5
1619.00,0.5
1620.00,-1
1621.00,-1
1622.00,-1
1623.00,-1
1624.00,-1
1625.00,-1
1626.00,-1
1627.00,-1
1628.00,-1
1629.00,-1
1630.00,-1
1631.00,-1
1632.00,-1
1633.00,-1
1634.00,-1
1635.00,-1
1636.00,-1
1637.00,-1
1638.00,-1
1639.00,-1
1640.00,-1
1641.00,-1
1642.00,-1
1643.00,-1
1644.00,-1
1645.00,-1
1646.00,-1
1647.00,-1
1648.00,-1
1649.00,-1
1650.00,-0.5
1651.00,-0.5
1652.00,-0.5
1653.00,-0.5
1654.00,1
1655.00,1
1656.00,1
1657.00,1
1658.00,1
1659.00,1
1660.00,1
1661.00,1
1662.00,1
1663.00,1
1664.00,1
1665.00,1
1666.00,1
1667.00,1
1668.00,1
1669.00,1
1670.00,1
1671.00,1
1672.00,1
1673.00,1
1674.00,1
1675.00,1
1676.00,1
1677.00,1
1678.00,1
1679.00,1
1680.00,1
1681.00,1
1682.00,1
1683.00,1
1684.00,0.5
1685.00,0.5
1686.00,0.5
1687.00,0.5
1688.00,-1
1689.00,-1
1690.00,-1
1691.00,-1
1692.00,-1
1693.00,-1
1694.00,-1
1695.00,-1
1696.00,-1
1697.00,-1
1698.00,-1
1699.00,-1
1700.00,-1
1701.00,-1
1702.00,-1
1703.00,-1
1704.00,-1
1705.00,-1
1706.00,-1
1707.00,-1
1708.00,-1
1709.00,-1
1710.00,-1
1711.00,-1
1712.00,-1
1713.00,-1
1714.00,-1
1715.00,-1
1716.00,-1
1717.00,-1
1718.00,-0.5
1719.00,-0.5
1720.00,-0.5
1721.00,-0.5
1722.00,1
1723.00,1
1724.00,1
1725.00,1
1726.00,1
1727.00,1
1728.00,1
1729.00,1
1730.00,1
1731.00,1
1732.00,1
1733.00,1
1734.00,1
1735.00,1
1736.00,1
1737.00,1
1738.00,1
1739.00,1
1740.00,1
1741.00,1
1742.00,1
1743.00,1
1744.00,1
1745.00,1
1746.00,1
1747.00,1
1748.00,1
1749.00,1
1750.00,1
1751.00,1
1752.00,1
1753.00,0.5
1754.00,0.5
1755.00,0.5
1756.00,0.5
1757.00,-1
1758.00,-1
1759.00,-1
1760.00,-1
1761.00,-1
1762.00,-1
1763.00,-1
1764.00,-1
1765.00,-1
1766.00,-1
1767.00,-1
1768.00,-1
1769.00,-1
1770.00,-1
1771.00,-1
1772.00,-1
1773.00,-1
1774.00,-1
1775.00,-1
1776.00,-1
1777.00,-1
1778.00,-1
1779.00,-1
1780.00,-1
1781.00,-1
1782.00,-1
1783.00,-1
1784.00,-1
1785.00,-1
1786.00,-1
1787.00,-0.5
1788.00,-0.5
1789.00,-0.5
1790.00,-0.5
1791.00,1
1792.00,1
1793.00,1
1794.00,1
1795.00,1
1796.00,1
1797.00,1
1798.00,1
1799.00,1
1800.00,1
